candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
197410 WT.unt.3_67270	264		306695	89.40	264
197644 WT.unt.4_73839	294		161571	91.50	294
197790 WT.unt.4_77084	294		185258	90.80	294
197825 WT.unt.4_74245	279		760848	95.30	279
197980 WT.unt.3_71546	272		182893	90.40	272
198271 WT.unt.2_61205	293		185258	99.00	293
198449 WT.day3.9_36984	244		3882796	92.60	244
198770 WT.unt.7_87664	294		529506	94.20	294
199118 WT.unt.2_58947	294		233435	90.50	294
199137 WT.unt.4_79317	293		522863	94.90	293
199181 WT.unt.1_51026	270		185258	94.40	270
1992 WT.day3.9_41215	244		183870	92.20	244
199215 WT.unt.4_74166	293		330118	98.30	293
199307 WT.unt.1_47792	264		157382	88.30	264
199532 WT.unt.2_57443	294		271544	94.20	294
199716 WT.day3.9_40140	243		196131	92.20	243
204093 WT.unt.2_58144	266		3302038	95.50	266
205160 WT.unt.4_80701	274		310215	92.30	274
205846 WT.unt.2_56056	231		158373	90.50	231
206421 WT.day3.9_44057	244		306695	91.00	244
206494 WT.unt.4_75238	265		512191	94.30	265
206633 WT.unt.2_59938	294		182893	89.80	294
206790 WT.unt.3_70437	252		182893	90.90	252
206817 WT.unt.3_68691	285		522549	92.30	285
208409 WT.unt.3_67229	283		182893	90.10	283
208571 WT.unt.4_75996	293		512191	94.90	293
209028 WT.day3.11_9206	244		267007	97.50	244
210218 WT.unt.7_87565	293		529506	91.10	293
210665 WT.unt.3_69787	294		522549	92.50	294
210867 WT.unt.3_64085	294		110660	97.30	294
211743 WT.day3.11_7783	244		267007	93.40	244
211876 WT.unt.3_63788	294		182893	92.50	294
212201 WT.unt.3_71122	294		182893	91.80	294
212219 WT.day3.14_20817	259		182893	92.30	259
212732 WT.unt.2_57987	243		185258	98.80	243
213147 WT.unt.1_47692	294		4466474	91.80	294
214116 WT.unt.3_64676	294		51677	98.00	294
214603 WT.unt.3_71340	224		171617	91.50	224
214715 WT.unt.3_63818	223		182893	91.00	223
214835 WT.unt.1_49148	294		185258	92.50	294
214904 WT.unt.7_86796	241		261623	90.90	241
215214 WT.day3.14_21351	294		522549	93.50	294
215495 WT.unt.3_69202	253		4466474	90.50	253
215751 WT.unt.1_49116	266		185258	99.60	266
215897 WT.day3.11_3912	244		522549	93.90	244
216184 WT.day3.11_7472	243		306695	95.10	243
216356 WT.unt.1_48748	294		51677	92.90	294
216524 WT.unt.1_50857	294		4466474	92.90	294
216902 WT.unt.7_83722	294		182893	93.20	294
217100 WT.unt.2_60693	226		160720	93.40	226
220012 WT.day3.13_11189	244		4438565	97.10	244
2204474 WT.day3.9_37548	244		181532	92.20	244
2212505 WT.unt.7_83646	228		522549	92.50	228
2216525 WT.unt.3_66294	293		4404086	86.70	293
2251904 WT.day3.11_8863	244		559954	95.50	244
227788 WT.unt.1_46004	293		522863	93.90	293
227967 WT.unt.1_53628	294		148219	90.10	294
2281837 WT.day3.11_1247	244		559954	95.50	244
228232 WT.unt.4_78541	294		289569	97.60	294
228374 WT.unt.1_53170	294		4466474	91.20	294
228391 WT.unt.1_53354	294		303574	92.50	294
228479 WT.unt.3_69477	261		182893	93.10	261
228601 WT.unt.1_49332	294		183870	93.20	294
2286580 WT.unt.3_67716	294		313733	90.10	294
228730 WT.unt.7_84600	265		182893	93.60	265
228785 WT.unt.1_46139	291		305127	86.30	291
229449 WT.unt.2_58175	294		148219	91.20	294
229459 WT.day3.14_23677	294		4468374	87.80	294
231563 WT.unt.1_45903	294		185258	90.10	294
233415 WT.unt.2_58093	294		148219	90.10	294
233435 WT.day3.14_18834	294		233435	100.00	294
233587 WT.unt.3_65675	273		306695	90.50	273
233991 WT.unt.1_46745	293		182630	95.90	293
234054 WT.unt.1_49495	294		16272	87.80	294
234912 WT.unt.3_65701	294		199568	93.20	294
235017 WT.day3.14_26480	294		161571	90.10	294
237063 WT.unt.3_66228	294		158611	96.60	294
242029 WT.unt.7_82405	283		351478	90.80	283
250270 WT.unt.7_84720	231		181717	98.70	231
2552941 WT.day3.14_23824	293		559954	94.90	293
256643 WT.day3.14_21390	293		201979	95.20	293
258169 WT.unt.3_65879	293		529506	96.20	293
258202 WT.unt.7_85297	293		183107	93.20	293
258280 WT.unt.1_47518	294		289569	93.90	294
258957 WT.unt.2_58142	294		51677	99.00	294
259506 WT.unt.1_47743	294		3302038	94.20	294
259594 WT.unt.3_64082	293		289407	94.90	293
259623 WT.unt.4_74702	294		182893	89.10	294
259771 WT.unt.3_71725	294		259771	97.30	294
259846 WT.unt.2_57071	294		261016	93.20	294
259870 WT.unt.1_49222	294		51677	98.30	294
260410 WT.day3.11_0	244		183870	93.90	244
261097 WT.unt.2_59195	268		185258	99.60	268
261265 WT.unt.1_46690	293		174974	91.50	293
261350 WT.day3.14_21772	294		4466474	89.80	294
261373 WT.unt.1_47355	294		16272	90.10	294
261574 WT.unt.1_45904	294		259771	94.60	294
262247 WT.unt.1_51192	223		522863	90.60	223
262258 WT.unt.1_51441	280		333195	95.40	280
262409 WT.day3.11_890	244		51677	99.60	244
262416 WT.unt.1_51862	293		512191	93.50	293
262677 WT.unt.1_47370	294		182420	94.60	294
263111 WT.unt.4_73730	253		171617	88.90	253
263479 WT.day3.11_7447	244		161571	92.20	244
263705 WT.unt.1_47135	294		3268451	90.50	294
264014 WT.unt.4_79406	277		163997	98.90	277
264109 WT.unt.7_82703	278		181532	87.40	278
264155 WT.unt.4_79387	234		266935	97.00	234
264240 WT.day3.11_1574	244		529442	94.30	244
264298 WT.day3.9_40289	244		182893	93.90	244
264373 WT.unt.1_49864	294		182630	92.20	294
264437 WT.unt.2_56664	294		529506	94.20	294
264489 WT.unt.1_52695	229		522863	96.10	229
2645483 WT.unt.7_81846	294		186510	93.90	294
2645488 WT.unt.3_64003	292		4382457	84.60	292
264646 WT.unt.7_85741	294		299599	89.50	294
264657 WT.unt.1_51955	294		182893	91.50	294
264734 WT.unt.3_63716	294		522549	92.50	294
264844 WT.unt.1_50721	293		185258	96.20	293
265322 WT.unt.7_82538	294		161571	90.80	294
266052 WT.unt.1_52496	294		162211	96.60	294
266060 WT.unt.3_67199	272		267007	94.10	272
266061 WT.unt.1_48684	293		529506	95.90	293
266120 WT.day3.15_30651	244		171617	90.60	244
266203 WT.unt.2_58511	293		529506	93.50	293
266860 WT.day3.14_22351	294		161571	91.50	294
267041 WT.unt.4_78153	294		529506	94.90	294
267042 WT.unt.1_50176	294		183051	91.20	294
267045 WT.day3.14_20486	274		183870	86.10	274
267123 WT.unt.2_62769	280		589920	90.40	280
267368 WT.unt.3_65320	294		289569	94.60	294
267996 WT.unt.2_56328	254		522863	93.70	254
268043 WT.unt.2_62368	294		183051	91.50	294
268410 WT.unt.4_75690	294		110660	91.50	294
268440 WT.unt.2_58570	282		522863	94.00	282
268620 WT.unt.3_68672	267		522863	94.00	267
268734 WT.unt.3_70279	294		161571	92.20	294
268797 WT.unt.3_64109	294		261016	97.60	294
2689396 WT.day3.14_22016	249		559954	94.80	249
269172 WT.unt.7_88996	273		3302038	94.50	273
269413 WT.unt.2_55378	294		522863	91.20	294
269418 WT.unt.2_62476	294		263546	95.60	294
269576 WT.unt.4_75654	293		522863	94.90	293
269657 WT.unt.3_70869	293		522863	95.90	293
269673 WT.unt.2_61722	294		4466474	88.40	294
269815 WT.unt.2_57018	239		271544	95.00	239
269828 WT.unt.2_61213	293		522863	94.50	293
269901 WT.day3.14_26515	293		4438565	98.30	293
270051 WT.day3.13_14004	244		171617	90.60	244
270158 WT.unt.1_46084	294		161571	91.50	294
270244 WT.unt.4_75878	237		512191	95.40	237
270248 WT.unt.4_76188	223		355162	94.20	223
270391 WT.day3.11_154	244		529442	95.10	244
270446 WT.unt.1_52850	294		261623	91.20	294
270571 WT.unt.4_74334	241		182420	95.40	241
270662 WT.unt.7_87340	226		174974	94.70	226
270866 WT.unt.2_54893	294		290002	91.50	294
270876 WT.unt.4_80548	224		13932	96.00	224
270988 WT.unt.2_56417	263		161571	92.00	263
271431 WT.unt.1_45886	294		185258	93.90	294
271602 WT.unt.3_69539	294		110660	96.30	294
271672 WT.unt.7_90161	294		182420	95.90	294
271804 WT.unt.3_69595	293		529506	94.90	293
271830 WT.unt.3_70594	294		351478	89.10	294
271983 WT.unt.7_83913	270		190084	97.80	270
272020 WT.day3.9_39456	244		264795	95.50	244
272188 WT.unt.4_75376	294		182420	92.90	294
272905 WT.unt.4_80285	253		529506	96.00	253
273091 WT.unt.1_53960	294		267411	93.50	294
273208 WT.unt.1_45977	294		182893	91.20	294
273459 WT.unt.1_45652	245		183107	93.10	245
273504 WT.day3.11_9144	244		512191	94.70	244
273586 WT.unt.4_76176	268		293471	89.90	268
273705 WT.unt.2_55061	294		163997	91.80	294
273737 WT.unt.4_75010	294		303571	89.10	294
273741 WT.unt.2_63196	294		185258	92.50	294
273967 WT.unt.2_54746	294		529506	94.90	294
274018 WT.unt.1_46143	293		185258	96.90	293
274317 WT.unt.2_58599	286		261016	92.70	286
274387 WT.unt.1_45672	293		529506	94.20	293
274438 WT.unt.1_48381	293		529506	94.20	293
275069 WT.unt.4_76912	263		113924	95.10	263
275138 WT.unt.4_75427	294		512191	92.90	294
275218 WT.unt.4_81444	294		182420	91.20	294
275423 WT.unt.1_46141	294		263546	96.30	294
275476 WT.unt.1_46306	294		263546	96.60	294
275563 WT.unt.1_54560	294		182630	95.20	294
275580 WT.unt.4_77650	284		183107	94.00	284
275819 WT.unt.1_49691	294		512191	93.20	294
276050 WT.unt.1_52656	291		163997	100.00	291
276052 WT.unt.2_58282	294		3769033	92.90	294
276125 WT.unt.1_49159	294		522863	93.90	294
276149 WT.unt.2_58198	294		194286	95.90	294
276158 WT.unt.7_86736	293		512191	93.20	293
276172 WT.unt.1_46812	294		529442	92.50	294
276312 WT.unt.4_78334	281		529506	94.00	281
276364 WT.unt.1_45708	293		185258	94.50	293
276575 WT.unt.1_48854	293		185258	93.50	293
276761 WT.unt.1_45949	294		151203	90.10	294
276762 WT.unt.2_61988	282		512191	93.60	282
276770 WT.unt.1_45863	294		522863	95.60	294
276894 WT.unt.1_47776	294		351478	90.50	294
276985 WT.unt.4_81007	265		182420	98.10	265
276996 WT.unt.7_86442	294		263546	95.20	294
277090 WT.unt.2_58678	294		185258	90.10	294
277120 WT.unt.1_46258	294		4466474	91.20	294
277202 WT.unt.1_47978	294		4338161	89.10	294
277204 WT.unt.3_64951	294		182420	97.30	294
277265 WT.unt.2_61005	293		522863	95.60	293
277364 WT.unt.1_49715	286		522549	88.50	286
277385 WT.unt.1_48546	293		522863	93.50	293
277420 WT.unt.1_49444	293		522863	95.20	293
277505 WT.unt.3_72662	294		522863	94.60	294
277729 WT.day3.13_17284	244		306695	94.70	244
278753 WT.unt.7_90265	281		529506	94.00	281
278901 WT.unt.1_52366	294		176582	96.60	294
279048 WT.unt.2_61114	294		580168	91.50	294
279115 WT.unt.1_48371	293		529506	95.60	293
279492 WT.unt.2_60623	294		174924	90.10	294
2797565 WT.unt.2_60293	294		332770	92.90	294
280968 WT.day3.14_19758	286		805194	90.20	286
284014 WT.day3.14_18985	293		559954	94.50	293
2874602 WT.day3.9_44499	244		3882796	92.60	244
288193 WT.unt.1_50752	294		289569	93.50	294
289261 WT.day3.15_34247	244		559954	95.50	244
2897325 WT.unt.1_46075	291		4413256	90.40	291
290338 WT.unt.3_64391	294		289569	94.20	294
291571 WT.unt.1_52212	294		263546	96.60	294
292289 WT.day3.14_25277	257		559954	94.60	257
292387 WT.unt.3_71629	293		289407	95.20	293
293737 WT.unt.2_57098	265		330118	96.20	265
294146 WT.day3.14_20052	294		141661	92.90	294
295053 WT.day3.14_19587	294		559954	94.90	294
2963421 WT.unt.7_86111	294		51677	97.30	294
298723 WT.unt.3_65376	294		185258	91.50	294
299267 WT.day3.14_25374	293		559954	94.50	293
3013444 WT.day3.15_27933	244		225040	90.60	244
301960 WT.unt.3_69163	293		512191	94.50	293
301979 WT.unt.3_66374	294		314638	86.10	294
302491 WT.unt.2_61381	294		724147	87.80	294
3028318 WT.unt.1_47281	294		2594571	94.60	294
303491 WT.day3.14_25229	293		171617	84.30	293
303574 WT.unt.3_68814	294		303574	100.00	294
304641 WT.day3.11_5434	185	No search results.
307057 WT.day3.14_24124	282		201979	97.20	282
307608 WT.unt.1_48206	294		3302038	93.20	294
308308 WT.unt.3_68626	294		159007	93.50	294
309249 WT.unt.1_47408	294		271544	99.00	294
309302 WT.unt.3_68802	271		263546	97.40	271
309361 WT.unt.3_63771	294		182420	95.20	294
309363 WT.unt.2_59827	289		309363	97.60	289
310499 WT.unt.4_80614	294		267411	95.60	294
310748 WT.unt.4_73941	272		529506	93.80	272
310760 WT.unt.3_69052	294		216888	95.20	294
312145 WT.unt.1_52989	294		113924	92.50	294
313324 WT.unt.7_86910	236		182420	94.90	236
313524 WT.unt.3_66644	267		1130573	92.50	267
313724 WT.unt.7_87802	293		522863	96.60	293
3150250 WT.unt.7_82838	294		522863	95.20	294
315309 WT.unt.2_61348	294		197460	94.20	294
315485 WT.unt.4_78918	288		589920	88.20	288
315669 WT.unt.1_46047	258		522549	93.00	258
3159130 WT.day3.14_19049	293		559954	95.20	293
316629 WT.day3.13_10720	244		522549	93.40	244
316925 WT.unt.2_58607	268		3302038	95.10	268
317653 WT.unt.7_88951	290		273784	95.50	290
3176547 WT.unt.1_48591	294		51677	97.60	294
318162 WT.unt.2_56643	294		185258	92.50	294
318370 WT.unt.2_60704	294		182420	96.90	294
318470 WT.unt.1_50785	294		185258	99.00	294
318503 WT.unt.7_85984	294		529506	96.60	294
318819 WT.unt.7_86980	281		185258	89.70	281
319153 WT.unt.1_47750	293		529506	94.90	293
320169 WT.unt.1_51021	294		310215	90.80	294
320224 WT.unt.1_47604	294		183051	92.50	294
320354 WT.unt.1_50772	294		182420	92.90	294
320835 WT.unt.1_49928	294		3302038	95.90	294
321484 WT.unt.1_45921	294		263546	100.00	294
321735 WT.unt.3_69448	294		182893	92.20	294
322059 WT.unt.3_66393	278		351478	91.70	278
322062 WT.unt.2_55898	294		185258	94.60	294
322464 WT.unt.3_69347	294		185670	93.90	294
322466 WT.unt.7_85487	269		522863	95.90	269
322839 WT.unt.1_52980	259		165063	89.60	259
323154 WT.unt.3_69001	294		522863	94.90	294
323583 WT.unt.1_48870	294		176499	91.50	294
323614 WT.unt.4_75008	293		640998	94.50	293
324104 WT.day3.14_25023	239		341823	93.70	239
324522 WT.unt.3_65758	294		526745	94.90	294
324867 WT.unt.2_54835	226		266935	96.90	226
325633 WT.unt.3_69884	294		293471	89.10	294
325836 WT.unt.2_57259	245		512191	95.10	245
325850 WT.unt.2_59325	249		303217	93.20	249
326095 WT.unt.1_51171	294		4466474	88.80	294
326644 WT.unt.1_48707	293		522863	96.60	293
326820 WT.unt.7_90088	294		353073	90.10	294
326940 WT.unt.1_45689	294		182420	94.90	294
327282 WT.unt.3_71113	281		110660	97.50	281
327284 WT.unt.1_47583	293		273784	94.20	293
327656 WT.unt.1_50517	294		522863	94.20	294
327808 WT.unt.4_76352	266		3302038	95.50	266
327900 WT.unt.2_60709	294		183051	91.80	294
328554 WT.unt.1_46078	294		176582	96.90	294
328825 WT.unt.1_47240	294		529506	95.90	294
328905 WT.unt.4_76538	294		263546	95.60	294
329712 WT.unt.4_77020	294		163997	92.20	294
329741 WT.unt.4_80043	237		522863	97.00	237
329790 WT.unt.2_61877	277		3302038	94.90	277
330417 WT.unt.4_81391	270		522863	96.30	270
330460 WT.unt.1_50860	250		271544	96.00	250
330731 WT.unt.1_48922	222		186510	98.20	222
330772 WT.unt.1_45628	294		267007	93.50	294
330921 WT.unt.7_88965	279		271544	96.10	279
331013 WT.unt.1_46204	294		267071	92.20	294
331043 WT.unt.4_76943	284		306695	90.10	284
331150 WT.unt.2_54753	294		529506	96.90	294
331737 WT.unt.1_52203	294		182420	96.90	294
331747 WT.unt.1_47147	294		261016	93.90	294
331772 WT.unt.1_49388	294		233435	91.20	294
332168 WT.unt.4_76815	294		529506	96.30	294
332588 WT.day3.9_36443	244		183870	91.80	244
332608 WT.unt.1_49725	294		263546	98.00	294
332666 WT.day3.14_21565	240		4466474	92.50	240
332865 WT.unt.4_80713	223		13932	98.20	223
333178 WT.unt.3_67572	238		4413327	91.60	238
333351 WT.unt.7_90578	232		512191	95.30	232
333837 WT.unt.7_83253	294		271544	92.90	294
334292 WT.unt.3_70910	294		157382	92.20	294
334619 WT.unt.4_73037	293		512191	96.90	293
334751 WT.unt.4_74239	293		529506	94.90	293
334870 WT.unt.4_77529	290		526745	93.80	290
334935 WT.unt.7_87117	294		263546	98.30	294
335267 WT.unt.4_72935	294		529506	94.20	294
335330 WT.unt.1_49192	294		182420	93.50	294
336214 WT.unt.2_54909	291		355162	95.20	291
336691 WT.unt.2_54919	273		182420	96.30	273
336696 WT.unt.3_68974	286		303574	92.00	286
336710 WT.day3.15_28158	234		183870	94.00	234
336736 WT.unt.3_65001	284		267071	88.70	284
336810 WT.unt.1_45866	294		182420	92.90	294
337004 WT.unt.1_53171	294		522549	92.20	294
337407 WT.unt.4_80782	293		529506	94.50	293
337494 WT.unt.1_45615	293		185258	96.90	293
337511 WT.unt.1_50058	294		180402	93.20	294
337724 WT.unt.1_46197	294		182893	92.20	294
337762 WT.unt.7_81801	294		183051	92.50	294
338133 WT.unt.2_58111	267		182420	94.00	267
338258 WT.unt.1_47815	294		309363	99.70	294
338644 WT.unt.2_63433	223		589920	93.70	223
338778 WT.unt.2_54810	294		216888	93.90	294
338796 WT.unt.2_60546	294		182420	92.50	294
339013 WT.day3.14_23862	294		183870	95.20	294
339017 WT.unt.1_46620	265		233435	89.80	265
339031 WT.day3.9_38987	244		341823	92.60	244
339229 WT.unt.1_47197	268		175358	97.40	268
339351 WT.unt.1_51315	294		267411	95.20	294
339549 WT.unt.7_88915	254		522549	91.30	254
339566 WT.unt.1_48465	294		301630	92.20	294
339718 WT.unt.1_46295	293		529506	94.20	293
339791 WT.unt.1_53279	293		522863	95.20	293
339886 WT.unt.1_49090	294		522863	94.60	294
339905 WT.day3.14_21112	294		306695	90.80	294
340535 WT.unt.4_73704	294		512191	92.50	294
340794 WT.unt.1_52079	294		287907	93.50	294
340853 WT.unt.1_47935	293		512191	94.90	293
341287 WT.unt.7_88724	222		266495	91.40	222
341448 WT.unt.7_85586	232		522549	92.70	232
341713 WT.unt.7_85526	294		182420	95.90	294
341749 WT.unt.2_60059	293		522863	96.60	293
341913 WT.unt.2_56109	252		233435	98.40	252
342075 WT.unt.1_45916	294		271544	95.20	294
342096 WT.day3.14_22339	270		559954	91.90	270
342504 WT.unt.2_58434	294		2901960	90.80	294
342786 WT.unt.2_54754	293		522863	94.20	293
342962 WT.day3.9_42814	244		182893	90.60	244
343140 WT.unt.1_46633	294		287907	88.40	294
343264 WT.unt.2_63262	294		189190	97.30	294
343581 WT.unt.1_52197	293		267411	97.60	293
343853 WT.day3.14_19586	294		351478	99.00	294
343906 WT.unt.1_52096	293		529506	96.90	293
343923 WT.day3.13_17955	244		163997	94.70	244
3439964 WT.day3.11_6731	244		559954	95.90	244
344101 WT.unt.2_59730	255		303574	92.90	255
344108 WT.unt.7_82358	293		522863	93.90	293
344329 WT.unt.1_49427	294		182420	96.30	294
3443818 WT.day3.14_20060	276		559954	93.80	276
344527 WT.unt.4_78500	294		303574	91.50	294
344607 WT.unt.2_54694	293		267411	92.50	293
344726 WT.unt.1_49807	294		297872	93.90	294
344828 WT.unt.7_87880	236		276120	92.40	236
344906 WT.unt.1_46089	294		325539	94.90	294
345063 WT.unt.7_81881	293		185258	97.60	293
345362 WT.day3.11_8004	243		559954	95.90	243
345466 WT.unt.1_52727	294		16272	89.10	294
345582 WT.unt.1_52545	294		325539	91.50	294
345862 WT.unt.1_47177	294		529506	94.60	294
345882 WT.unt.1_46737	293		216888	99.70	293
345913 WT.unt.7_87347	284		325539	91.90	284
346098 WT.unt.7_82221	293		522863	97.60	293
346267 WT.day3.9_38073	230		522549	92.60	230
346291 WT.unt.1_50991	294		185258	91.20	294
346595 WT.unt.1_46530	294		529506	96.60	294
346648 WT.unt.3_68357	294		182630	93.50	294
3467750 WT.day3.11_602	244		559954	95.50	244
346804 WT.unt.4_80925	294		303574	93.90	294
346870 WT.unt.1_47174	294		310215	92.20	294
347128 WT.unt.4_77404	293		297872	94.90	293
347490 WT.unt.4_74267	238		216888	93.30	238
347933 WT.unt.7_82295	274		185258	88.00	274
348038 WT.day3.14_19678	294		161571	92.50	294
348088 WT.unt.2_55828	294		182893	91.20	294
348142 WT.unt.7_87067	294		189190	94.60	294
348304 WT.day3.9_39658	243		196131	93.00	243
348313 WT.unt.2_62791	294		304187	94.60	294
348376 WT.unt.7_83513	284		185258	91.20	284
348398 WT.unt.4_74845	294		185258	90.80	294
348404 WT.unt.1_47237	294		289569	93.20	294
348748 WT.unt.1_52312	294		297872	95.20	294
348821 WT.day3.9_41077	244		522549	93.00	244
349153 WT.unt.7_86792	294		522863	95.90	294
349246 WT.unt.3_64856	266		3302038	94.70	266
349310 WT.unt.4_78203	265		271544	94.30	265
349372 WT.unt.1_50990	294		273784	98.60	294
349809 WT.day3.11_1858	244		194286	95.90	244
349874 WT.unt.3_64286	294		185258	91.50	294
350127 WT.unt.1_47673	294		289569	94.60	294
350188 WT.unt.2_56998	294		3769033	92.50	294
350381 WT.unt.7_88283	293		185258	96.20	293
350404 WT.unt.2_63391	294		3302038	94.60	294
350666 WT.unt.1_50707	264		522863	95.80	264
351309 WT.unt.2_55144	293		195325	93.20	293
351405 WT.unt.4_79265	294		512191	92.90	294
351478 WT.day3.11_3262	244		233435	99.60	244
351593 WT.unt.1_46647	294		529506	95.90	294
351794 WT.unt.7_83914	293		216888	98.60	293
351859 WT.unt.2_58229	294		163997	90.50	294
351881 WT.unt.4_73864	293		522863	94.90	293
